titel,name,email,zugang,quelle,status,link
Hauswirtschafter(in),Berufliches Trainingszentrum Rhein-Neckar gGmbH,info@btz.srh.de,keine Angabe,bildungsanbieter,not sent,
Vorbereitung auf eine IT-Umschulung - mit einem wesentlichen FISI-Hauptfach,its digital akademie GmbH,beratung@its-digital-akademie.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2 und Englisch B1.</p>,bildungsanbieter,not sent,https://form.typeform.com/to/tcq9SlEj?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-E-4007-1
Fachinformatiker Daten- und Prozessanalyse - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-fachinformatiker-daten-prozessanalyse/?utm_campaign=weiterbildung&utm_source=kursnet
"Alltagsbegleiter - Betreuungskraft nach §§ 43b, 53b SGB XI",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Abgeschlossene Ausbildung im relevanten Bereich oder ein Studium bzw. ein abgebrochenes Hochschulstudium oder ausreichende Berufserfahrung</li><li> Deutsch in Wort und Schrift</li><li> Grundlegende EDV-Kenntnisse</li><li> Grundkenntnisse in Englisch wünschenswert, aber nicht zwingend erforderlich</li><li> Ein internes Auswahlverfahren im Rahmen eines Fachgespräches ist mit ""gut geeignet"" zu bestehen</li></ul><p>Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers, Ausnahmen sind in Absprache mit dem COMCAVE.COLLEGE® und dem Kostenträger möglich.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand von Lebenslauf, Zeugnissen und Zertifikaten, bzw. einer Eignungsfeststellung im Rahmen eines ausführlichen persönlichen Fachgespräches geprüft.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/alltagsbetreuer-betreuungskraft-nach-paragraf-43b-53b-sgb-xi/?utm_campaign=weiterbildung&utm_source=kursnet
"Kauffrau, Kaufmann E-Commerce - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kaufmann-kauffrau-ecommerce/?utm_campaign=weiterbildung&utm_source=kursnet
Sport- und Fitnesskaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-sport-fitnesskauffrau-fitnesskaufmann/?utm_campaign=weiterbildung&utm_source=kursnet
Einjährige Berufsfachschule (BFS 1) - Wirtschaft und Verwaltung,Kaufmännische Schulen Rheine,info@kfmschulen.de,<p>Hauptschulabschluss</p>,bildungsanbieter,not sent,https://kfmschulen.de
Vorbereitungskurs kaufmännische / betriebswirtschaftliche Umschulung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Mindestens Hauptschulabschluss oder vergleichbaren Schulabschluss.</li><li> Interesse für den kaufmännichen Bereich.</li><li> Deutsch in Wort und Schrift.</li><li> Grundlegende PC-Kenntnisse.</li><li> Ein internes Auswahlverfahren im Rahmen eines Fachgespräches ist mit ""gut geeignet"" zu bestehen.</li></ul><p>Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers, Ausnahmen sind in Absprache mit dem COMCAVE.COLLEGE® und dem Kostenträger möglich.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand von Lebenslauf, Zeugnissen und Zertifikaten, bzw. einer Eignungsfeststellung im Rahmen eines ausführlichen persönlichen Fachgespräches geprüft.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitung-kaufmaennische-umschulung/?utm_campaign=weiterbildung&utm_source=kursnet
Grundlagen für Wirtschafts- und Dienstleistungsberufe inkl. moderne Arbeitswelt und Grundlagen der Buchhaltung,WBS TRAINING SE,info@wbstraining.de,<p>abgeschlossene Berufsausbildung oder mehrjährige Berufserfahrung (für Teilnehmende ohne formalen Berufsabschluss)</p>,bildungsanbieter,not sent,https://www.wbstraining.de/kn/grundlagen-wirtschafts-dienstleistungsberufe/
"Betreuungskraft nach §§ 43b, 53b SGB XI",SIS Social Impact School GmbH,kurs@impactschool.de,keine Angabe,bildungsanbieter,not sent,"https://www.impactschool.de/meinnow-kurs-pub/?utm_source=kursnet&utm_content=Betreuungskraft%20nach%20§§%2043b,%2053b%20SGB%20XI&w_title=Betreuungskraft%20nach%20§§%2043b,%2053b%20SGB%20XI"
Vermittlung digitaler Grundkenntnisse,Akademie Überlingen,kursnet-management@a-ue.de,<ul><li>Kenntnisse in Deutsch in Wort und Schrift</li><li>Motivation zum Erwerb oder der Auffrischung digitaler Grundkompetenzen</li><li>Voraussetzungen zur Begründung der Durchführung in Teilzeit</li></ul>,bildungsanbieter,not sent,https://akademie-ueberlingen.de/kurs-basisdaten/vermittlung-digitaler-grundkenntnisse/?mtm_campaign=Kursnet&mtm_kwd=VDK
Vorbereitung auf eine IT-Umschulung - mit einem wesentlichen FIAE-Hauptfach,Verein für Integration und Bildung e. V.,info@sprachakademie.org,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2 und Englisch B1.</p>,bildungsanbieter,not sent,
"Seniorenbetreuer:in - Aufbaukurs für Betreuungskraft nach §§ 43b, 53b SGB XI",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Dieses Modul setzt eine abgeschlossene Weiterbildung als Betreuungskraft gemäß§§ 43b, 53b SGB XI voraus.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/P-3904-2?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=P-3904-2
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV-Grundlagen und Textverarbeitung",Fortbildungsakademie der Wirtschaft (FAW) gGmbH,beratung@online-weiterbilden.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B.2.</p>,bildungsanbieter,not sent,https://www.faw.de/r/ibb?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4046-1
Nachprüfungsvorbereitung der Umschulung Mediengestalter Digital und Print (w/m/d),WBS TRAINING SE,info@wbstraining.de,<p>Die Zulassungsvoraussetzungen für die Abschlussprüfung müssen erfüllt sein (z. B. durch Absolvieren des Praktikums und Lerninhalte der AO).</p>,bildungsanbieter,not sent,https://www.wbstraining.de/kn/nachpruefung-umschulung-mediengestalter/
Gartenbauwerker Zierpflanzen (§66 BBiG/ 42mHwO),Die Kolping Akademie in Kaufbeuren,info@kolping-allgaeu.de,<p>Die Zuweisung erfolgt über die/den Berufsberater/ in der Agentur für Arbeit</p>,bildungsanbieter,not sent,
Technische Hilfskraft für den IT-Bereich inklusive technischem Englisch,GFN GmbH,kursnet-beratung@gfn.de,<ul><li>Gute Deutschkenntnisse</li><li>Ausreichende Englischkenntnisse</li><li>Grundkenntnisse in Microsoft Office und Erfahrungen mit Internet-Browsern</li><li>Teilnahme an einem unverbindlichen Beratungsgespräch</li></ul>,bildungsanbieter,not sent,https://www.gfn.de/esther/?itn=KN-V546-30&utm_source=kursnet&utm_medium=portal&utm_campaign=KN-LINK-MOD&utm_term=Heidelberg&utm_content=KN-V546-30
"Betreuungskraft nach §§ 43b, 53b SGB XI mit Zusatzqualifikationen Ethik und Umgang mit psychischen Belastungen",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Sie müssen sich in einem mindestens fünftägigen Praktikum VOR Beginn des Kurses erproben. Hier sollen Sie als Interessent herausfinden, ob Ihnen die Arbeit mit demenzerkrankten, körperlich beeinträchtigten oder geistig behinderten Menschen Freude bereitet. Gute sprachliche Verständigung in Deutsch sowie PC-Grundkenntnisse sollten Sie mitbringen.</p><br/><br/><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/Z-P-2949-2?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=Z-P-2949-2
Prüfungsvorbereitung Fachkraft für Gastronomie (IHK),cpi consulting + training GmbH,anfrage@cpi.de,"<ul><li> Abgeschlossene Ausbildung oder ein Studium bzw. ein abgebrochenes Hochschulstudium oder ausreichende Berufserfahrung.</li><li> Sichere Deutschkenntnisse in Wort und Schrift.</li><li> Grundkenntnisse in Englisch und EDV sind von Vorteil.</li><li> Ein internes Auswahlverfahren in Form eines Fachgesprächs ist mit dem Ergebnis ""gut geeignet"" zu bestehen.</li></ul><p>Darüber hinaus gelten die Zugangsvoraussetzungen des Kostenträgers. Ausnahmen können in Absprache mit der cpi consulting + training GmbH und dem Kostenträger vereinbart werden.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand des Lebenslaufs, vorgelegter Zeugnisse und Zertifikate oder durch eine Eignungsfeststellung im Rahmen eines ausführlichen Fachgesprächs überprüft.</p>",bildungsanbieter,not sent,https://www.cpi.de/gastgewerbe-service/pruefungsvorbereitung-fachkraft-gastronomie-ihk/?utm_campaign=weiterbildung&utm_source=kursnet
Orthoptist/in,Schule für Orthoptik an der Akademie für medizinische Berufe,orthoptikschule@uniklinik-freiburg.de,"<ul><li>mindestens Hauptschulabschluss mit abgeschlossener 2-jähriger Berufsausbildung oder Realschulabschluss</li><li>gute Zensuren in Deutsch, Englisch, Mathematik, Biologie und Physik</li><li>medizinisch-naturwissenschaftliches Interesse</li><li>Freude am Umgang mit Menschen aller Altersgruppen</li><li>gesundheitliche Eignung, bestätigt durch ein ärztliches Zeugnis</li></ul>",bildungsanbieter,not sent,https://www.uniklinik-freiburg.de/augenklinik/augenklinik/neuroophthalmologie-kinderophthalmologie-schielbehandlung/schule-fuer-orthoptik.html
"Kauffrau, Kaufmann für Groß- und Außenhandelsmanagement (Großhandel) - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-gross-aussenhandelsmanagement-grosshandel/?utm_campaign=weiterbildung&utm_source=kursnet
Fachinformatiker Daten- und Prozessanalyse - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-fachinformatiker-daten-prozessanalyse/?utm_campaign=weiterbildung&utm_source=kursnet
Grundkompetenzen für PC-Anwendungen,faw Aachen,aachen@faw.de,<p>- ausreichendes Sprachniveau (mind. B2)<br/>- Grundlegende Fähigkeiten in der Bedienung des PC</p>,bildungsanbieter,not sent,https://www.faw.de/kurs/eca-92534
"Kauffrau, Kaufmann für Spedition- und Logistikdienstleistung - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-spedition-logistikdienstleistung/?utm_campaign=weiterbildung&utm_source=kursnet
"Kauffrau, Kaufmann für IT System Management - Vorbereitung auf die IHK Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kauffrau-kaufmann-it-system-management/?utm_campaign=weiterbildung&utm_source=kursnet
Veranstaltungskaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-auf-ihk-pruefung-veranstaltungskauffrau-veranstaltungskaufmann/?utm_campaign=weiterbildung&utm_source=kursnet
"Alltagsbegleiter - Betreuungskraft nach §§ 43b, 53b SGB XI",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Abgeschlossene Ausbildung im relevanten Bereich oder ein Studium bzw. ein abgebrochenes Hochschulstudium oder ausreichende Berufserfahrung</li><li> Deutsch in Wort und Schrift</li><li> Grundlegende EDV-Kenntnisse</li><li> Grundkenntnisse in Englisch wünschenswert, aber nicht zwingend erforderlich</li><li> Ein internes Auswahlverfahren im Rahmen eines Fachgespräches ist mit ""gut geeignet"" zu bestehen</li></ul><p>Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers, Ausnahmen sind in Absprache mit dem COMCAVE.COLLEGE® und dem Kostenträger möglich.<br/>Die beruflichen und schulischen Zugangsvoraussetzungen werden anhand von Lebenslauf, Zeugnissen und Zertifikaten, bzw. einer Eignungsfeststellung im Rahmen eines ausführlichen persönlichen Fachgespräches geprüft.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/alltagsbetreuer-betreuungskraft-nach-paragraf-43b-53b-sgb-xi/?utm_campaign=weiterbildung&utm_source=kursnet
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV",Lecturio GmbH,bildungsgutschein@lecturio.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p>,bildungsanbieter,not sent,https://www.lecturio.de/weiterbildung-mit-bildungsgutschein/online-live-kurse/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-K-4043-1#/kurs-fuer-arbeitssuchende/ZU-K-4043-1
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/ZU-K-4043-1?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=ZU-K-4043-1
Vorbereitung auf eine Mediengestalter-Umschulung - Schwerpunkt: Tools in der Mediengestaltung - Kompakt,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,"<p>Besondere Teilnahmevoraussetzungen sind nicht nötig, da die konkreten Inhalte und Schwerpunkte individuell auf jeden Teilnehmer, seinen Bedarf und seine Vorkenntnisse abgestimmt werden.</p>",bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-X-4411-1
"Betreuungskraft nach §§ 43b, 53b SGB XI",WBS TRAINING SE,info@wbstraining.de,"<p>Für die Teilnahme benötigst du ein eintragsfreies, polizeiliches Führungszeugnis. Wir empfehlen außerdem Deutschkenntnisse auf Niveau B1 (idealerweise B2) in Wort und Schrift, damit du dem Unterricht folgen, Dokumentation verstehen und sicher mit Patient:innen und im Team kommunizieren kannst.​<br/>Für das Praktikum sind Impf- bzw. Immunitätsnachweise gemäß Infektionsschutzgesetz erforderlich (z. B. Masern, Mumps, Röteln, Pertussis, Poliomyelitis, Diphtherie, Hepatitis A und B). Die konkret notwendigen Nachweise stimmst du direkt mit deiner Praktikumseinrichtung ab.​<br/>Hinweis: In einigen Bundesländern, z. B. Brandenburg, wird der Abschluss als Pflegehelfer:in nicht in allen Einrichtungen anerkannt. Kläre daher vor Beginn der Weiterbildung mit deinem gewünschten Arbeitgeber, ob der Abschluss für die angestrebte Tätigkeit akzeptiert wird.</p>",bildungsanbieter,not sent,https://www.wbstraining.de/kn/betreuungskraft-43b-53b-sgb-xi/
Nachprüfungsvorbereitung der Umschulung Kaufmann/-frau für Spedition und Logistikdienstleistung,WBS TRAINING SE,info@wbstraining.de,<p>Die Zulassungsvoraussetzungen für die Abschlussprüfung müssen erfüllt sein (z. B. durch Absolvieren des Praktikums und Lerninhalte der AO).</p>,bildungsanbieter,not sent,https://www.wbstraining.de/kn/nachpruefung-umschulung-spedition/
Immobilienkaufmann - Vorbereitung auf die IHK-Prüfung,COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-immobilienkaufmann-immobilienkauffrau/?utm_campaign=weiterbildung&utm_source=kursnet
"Kauffrau, Kaufmann im Gesundheitswesen - Vorbereitung auf die IHK-Prüfung",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-kaufmann-kauffrau-gesundheitswesen/?utm_campaign=weiterbildung&utm_source=kursnet
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV und Einführung in die Buchführung",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/ZU-K-4039-1?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=ZU-K-4039-1
Grundkompetenzen: Mathematik 2,TERTIA Berufsförderung GmbH & Co. KG,schnittstelle@tertia.de,keine Angabe,bildungsanbieter,not sent,https://www.tertia.de/tobi_grundkompetenzen/
"Mediengestalter Digital und Print - Vorbereitung auf die IHK-Prüfung, Fachrichtung Designkonzeption",COMCAVE.COLLEGE GmbH,anfrage@comcave.com,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",bildungsanbieter,not sent,https://www.comcave.de/weiterbildung/bewerbungstraining-vorbereitung/vorbereitungskurse/vorbereitung-ihk-pruefung-mediengestalter-designkonzeption/?utm_campaign=weiterbildung&utm_source=kursnet
Fahrradmonteur/-in 3-jährig,Berufsbildungswerk Hamburg gGmbH,info.bbw@cjd.de,<p>Behinderung nach § 2 SGB IX in Verbindung mit § 19 SGB III</p>,bildungsanbieter,not sent,
Maßnahme zum Erwerb von Grundkompetenzen,WBS TRAINING SE,info@wbstraining.de,"<p>An dieser Maßnahme zum Erwerb von Grundkompetenzen können Sie teilnehmen, wenn Sie einen anerkannten Berufsabschluss anstreben und sich auf die entsprechende Umschulung vorbereiten möchten, indem Sie grundlegende Kenntnisse absichern.</p>",bildungsanbieter,not sent,https://www.wbstraining.de/kn/erwerb-grundkompetenzen-varianten/
Vorbereitung auf eine IT-Umschulung - Schwerpunkt: Vorbereitung auf zwei der IT-Grundlagenfächer,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,beratung@online-weiterbilden.com,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2 und Englisch B1.</p>,bildungsanbieter,not sent,https://www.faw.de/r/ibb?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-E-4005-1
Erwerb von Grundkompetenzen - Grundwissen Mathematik (Anwendung von Zahlen & Zins- und Prozentrechnung),IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,<p>An der Maßnahme können Teilnehmer mit unterschiedlichen Zugangsvoraussetzungen teilnehmen. Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für die Teilnahme an der Maßnahme nicht erforderlich.<br/>Ausnahmeregelungen erfolgen in Abstimmung mit dem JC/der Arbeitsagentur oder der optierenden Kommune. Grundlegende Deutschsprachkenntnisse (Niveau A2 GER) werden vorausgesetzt.</p><br/><br/><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/S-2368-D-6?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=S-2368-D-6
Vorbereitung auf eine IT-Umschulung - Schwerpunkt: Vorbereitung auf zwei der IT-Grundlagenfächer,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,viona@lernstudio-barbarossa.de,<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2 und Englisch B1.</p>,bildungsanbieter,not sent,https://www.lernstudio-barbarossa.de/weiterbildung/?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-E-4005-1
Vorbereitung auf eine Mediengestalter-Umschulung - Schwerpunkt: Tools in der Mediengestaltung - Basis,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,beratung@bfz.de,"<p>Besondere Teilnahmevoraussetzungen sind nicht nötig, da die konkreten Inhalte und Schwerpunkte individuell auf jeden Teilnehmer, seinen Bedarf und seine Vorkenntnisse abgestimmt werden.</p>",bildungsanbieter,not sent,https://www.bfz.de/r/ibb?utm_source=Kursnet&utm_campaign=Kursnet&utm_medium=Link_Kurs&utm_term=ZU-X-4412-1
"Betreuungskraft nach §§ 43b, 53b SGB XI (ehem. § 87b) mit Zusatzqualifikation Interkulturelle Kommunikation",IBB Institut für Berufliche Bildung GmbH,kundencenter-kursnet@ibb.com,"<p>Entfernung Für die erfolgreiche Teilnahme an diesem Kurs sollten die Teilnehmer soziale Kompetenz und Einfühlungsvermögen aufweisen sowie belastbar sein. Vor Beginn des Kurses müssen Interessenten in einem fünftägigen Praktikum herausfinden, ob sie für den Umgang mit demenzerkrankten, körperlich beeinträchtigten oder geistig behinderten Menschen geeignet sind und ihnen die Arbeit Freude bereitet. Gute Deutschkenntnisse werden vorausgesetzt.</p><br/><br/><br/><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",bildungsanbieter,not sent,https://www.ibb.com/kurs-fuer-arbeitssuchende/Z-P-2646-2?utm_source=Kursnet&utm_medium=Link_Kurs&utm_campaign=Kursnet&utm_term=Z-P-2646-2
